events_id;link;name ;date;descr;stream;place;status;created;level
12;https://sbio.info/lections/;Лекции по биологии;07.11.2018;Ткань – совокупность клеток и межклеточного вещества, сходных по происхождению, строению и выполняемым функциям.;Биология;Москва;;;6,1
13;http://bio.fizteh.ru/student/files/biology/biolections/;Основы биологии;08.11.2018;Курс в разных модификациях используется уже в течение 25 лет в качестве программы первого года обучения на Летней Экологической Школе для школьников, окончивших 6 класс.;Биология;Москва;;;6,4
14;http://www.studmed.ru/lekcii-po-biologii_9dc9bb51064.html;Строение и состав клетки;09.11.2018;Лекции по основным разделам биологии: Клеточная теория, строение и состав клетки.;Биология;Москва;;;8,1
15;http://lectoriy.mipt.ru/course/Biology-Basics-14L;Вызовы современной биологии;08.12.2018;"Фундаментыльные и прикладные исследования в биологии: Материалы
ІІ Международной научной конференции студентов, аспирантов и молодых ученых";Биология;Москва;;;9
16;http://www.chem.msu.ru/rus/teaching/thermo/welcome.html;Неорганическая химия;20.12.2018;Лекции для студентов первого курса;Химия;Москва;;;6,1
17;https://sochisirius.ru/obuchenie/project/smena113/410;БОЛЬШИЕ ВЫЗОВЫ;07.11.2018;Задачи Natural language processing встречаются во многих отраслях, не стал исключением и банкинг. Участники проекта смогут самостоятельно пройти по всему пайплайну задачи промышленного анализа данных (школьники займутся постановкой задач, изучением существующих методов, прототипированием, созданием продукта) на примере задачи Fact Сhecking.;Проектная смена;Москва;1;;1
18;https://www.intuit.ru/studies/courses/546/402/info;Прикладная статистика для чайников;08.11.2018;Курс посвящен основным методам современной прикладной статистики. В нем рассмотрены вероятностно-статистическая база и основные проблемы прикладной статистики – описание данных, оценивание, проверка гипотез;Математика;Москва;1;;2
19;http://mpgu.su/ob-mpgu/struktura/faculties/institut-biologii-i-himii/magistratura/neyrobiologiya/;Нейробиология;01.09.2019;Проведение фундаментальных и прикладных исследований в области нейробиологии;Биология;Москва;;;10
20;http://www.chem.msu.su/rus/school/SchoolYChem/;Школа юного химика;01.10.2018;Дистанционные курсы углубленной подготовки абитуриентов по математике при Химическом факультете МГУ;Химия;Москва;;;6
21;http://www.mmmf.msu.ru/;Малый мехмат;01.10.2018;Математические кружки при Московском университете;Математика;Москва;;;4
22;http://fmsh.ru/;Вечерняя физико-математическая;01.06.2018;Подготовительные курсы;Физика;Москва;;;5
23;nebo-nsk.ru;Гравитация Эйнштейна;13.12.2018;Лекция о формировании гравитационных волн;Физика;Новосибирск;;;3
24;afisher.info;ZooАкадемия. Увлекательная зоология;05.04.2018;образовательный проект зоопарка «Лесное посольство»;Биология;Новосибирск;1;;2
25;https://youtu.be/EhLHp-8KoxE;Качество жизни человека;20.04.2018;В лекции рассмотрены вопросы круговорота веществ и химических элементов в природе, роль химических элементов в организме человека, основные источники загрязнения окружающей среды, эффекты токсичности элементов для человека;Химия;Москва;;;5
26;https://youtu.be/lvJOB94u1ZM;Эргономика приусадебного хозяйства;10.08.2016;лекция о биологических системах приусадебной территории;Биология;Москва;;;7
27;https://youtu.be/82P6YxtUWBM;Огонь, мерцающий в сосуде;05.05.2016;В лекции рассматриваются основные положения современной теоретической физики, как они возникли и на чем они базируются;Физика;Москва;;;9
28;https://youtu.be/FfZ7TAkht8w;Геометрия. Вневписанная окружность;05.05.2017;"Мастер-класс посвящен решению олимпиадных задач по геометрии объединенных темой ""Вневписанная окружность""";Математика;Москва;1;;2
29;https://youtu.be/dhx-yIJ-ATc;Невидимые нейтрино: окно в новую физику;03.04.2016;Лекция о законах мира элементарных частиц;Физика;Москва;;;4
30;https://youtu.be/ZWjf1WlI5Tc;Генетика патологий или как найти ген болезни;12.10.2017;В лекции идет речь о различных фундаментальных и прикладных аспектах выявления генов, ассоциированных с различными патологиями у человека;Биология;Москва;;;6
31;https://youtu.be/qOYySiahZQs;Мозг и одаренность;11.09.2016;"Лекция о строении мозга и понятии ""одарённость""";Биология;Москва;1;;4
32;https://video-vcs.talantiuspeh.ru/videos/video/405/;Неравенства в олимпиадных задачах и углубленном курсе математики;05.07.2016;Мастер-класс о решении олимпиадных задач по математике;Математика;Москва;;;7
33;https://video-vcs.talantiuspeh.ru/videos/video/491/;Динамическое программирование по профилю;15.11.2016;Мастер-класс;Информационные технологии;Санкт-Петербург;;;8
34;https://afisha.yandex.ru/saint-petersburg/selections/lectures-historylectures?filter=natural_sciences&eventId=5b5612ccfaed1dd389f134a1;День анатомического театра;04.03.2018;Гости узнают, когда появились анатомические театры, как скелет с косой стал символом смерти и почему на публичных вскрытиях посетителей угощали апельсинами;Биология;Санкт-Петербург;;;6
35;https://vk.com/public_sci_fest;Наука 0+;17.10.2018;Интерактивные выставки, научные шоу, лекции знаменитых ученых, увлекательные эксперименты, экскурсии, театральные постановки и астрономические наблюдения;Физика;Москва;;;8
36;https://vk.com/event171854927;Исследование вселенной при помощи гравитационных волн: от Большого взрыва до черных дыр;12.10.2018;Лекция Кипа Торна в Москве;Физика;Москва;1;;2
37;https://vk.com/stevewozniak_nauka0;Computers are going to take over from humans;07.10.2017;Лекция Стива Вознка;Информационные технологии;Москва;;;5
38;https://vk.com/robotbal;Бал роботов;15.06.2014;Интерактивная Робовыставка;Информационные технологии;Москва;;;7
39;https://youtu.be/2iq3l2py-Yg?list=PL1JJ1jVZ9z5Blnz3N5Lw9hiBqmHuaioU-;Лекторий малого мехмата;31.07.2017;Сложение фигур и неравенство Брунна-Минковского;Математика;Москва;;;4
40;http://www.mathnet.ru/conf504;Семинар по истории математики;06.12.2018;Математика и государство: послевоенное развитие вычислительной математики в США и СССР;Математика;Санкт-Петербург;;;5
41;https://sochisirius.ru/uploads/files2/calendar2018.pdf;МАТЕМАТИКА, ИНФОРМАТИКА, ФИЗИКА;04.06.2018;Программа НИУ ВШЭ;Математика;Москва;;;9
42;https://sochisirius.ru/uploads/files2/calendar2018.pdf;МАТЕМАТИКА, ИНФОРМАТИКА, ФИЗИКА;04.06.2018;Программа НИУ ВШЭ;Информационные технологии;Москва;;;8
43;https://multiurok.ru/files/sieminar-po-tiemie-aktivnyie-formy-obuchieniia-mat.html;"Семинар по теме ""Активные формы обучения математике""";;"Семинар по теме ""Активные формы обучения математике""";Математика;Дзержинск;;;1
44;http://www.mcnmo.ru/nir/uir/;Cеминар учебно-исследовательских работ школьников по математике;06.09.2018;Семинар посвящён слушаниям и обсуждению работ школьников по математике;Математика;Москва;1;;2
45;https://vk.com/fiz_nev;Физика невозможного;01.01.2001;Интересные факты из области физики;Физика;Москва;;;6
46;https://scholar.lifttothefuture.ru/school/;Лифт в будущее;04.03.2017;Участники проектных школ ведут проектную деятельность, а также работать в научно-технических творческих мастерских в течение трех недель;Проектная смена;Москва;;;7
47;https://vk.com/cocoaheadsrussia;CocoaHeads;16.11.2018;– Построение контейнеров на основе UIViewController;Информационные технологии;Санкт-Петербург;;;8
48;https://vk.com/edu;VK Education;02.04.2018;Видеолекции, лонгриды, прямые трансляции из ведущих вузов и с лучших мероприятий;Информационные технологии;Москва;;;4
49;https://docs.google.com/forms/d/e/1FAIpQLSdohAANB5C8zibqR_aqeTkH2-f0QzHiR09OyRY6Iqp88IgpzQ/closedform;VK University;09.09.2018;"Введение в iOS 10, Xcode 8 и Swift 3; Системы контроля версий, принцип MVC";Информационные технологии;Москва;1;;7
12;https://sbio.info/lections/;Лекции по биологии;07.11.2018;Ткань – совокупность клеток и межклеточного вещества, сходных по происхождению, строению и выполняемым функциям.;Биология;Москва;;;6,1
13;http://bio.fizteh.ru/student/files/biology/biolections/;Основы биологии;08.11.2018;Курс в разных модификациях используется уже в течение 25 лет в качестве программы первого года обучения на Летней Экологической Школе для школьников, окончивших 6 класс.;Биология;Москва;;;6,4
14;http://www.studmed.ru/lekcii-po-biologii_9dc9bb51064.html;Строение и состав клетки;09.11.2018;Лекции по основным разделам биологии: Клеточная теория, строение и состав клетки.;Биология;Москва;;;8,1
15;http://lectoriy.mipt.ru/course/Biology-Basics-14L;Вызовы современной биологии;08.12.2018;"Фундаментыльные и прикладные исследования в биологии: Материалы
ІІ Международной научной конференции студентов, аспирантов и молодых ученых";Биология;Москва;;;9
16;http://www.chem.msu.ru/rus/teaching/thermo/welcome.html;Неорганическая химия;20.12.2018;Лекции для студентов первого курса;Химия;Москва;;;6,1
17;https://sochisirius.ru/obuchenie/project/smena113/410;БОЛЬШИЕ ВЫЗОВЫ;07.11.2018;Задачи Natural language processing встречаются во многих отраслях, не стал исключением и банкинг. Участники проекта смогут самостоятельно пройти по всему пайплайну задачи промышленного анализа данных (школьники займутся постановкой задач, изучением существующих методов, прототипированием, созданием продукта) на примере задачи Fact Сhecking.;Проектная смена;Москва;1;;1
18;https://www.intuit.ru/studies/courses/546/402/info;Прикладная статистика для чайников;08.11.2018;Курс посвящен основным методам современной прикладной статистики. В нем рассмотрены вероятностно-статистическая база и основные проблемы прикладной статистики – описание данных, оценивание, проверка гипотез;Математика;Москва;1;;2
19;http://mpgu.su/ob-mpgu/struktura/faculties/institut-biologii-i-himii/magistratura/neyrobiologiya/;Нейробиология;01.09.2019;Проведение фундаментальных и прикладных исследований в области нейробиологии;Биология;Москва;;;10
20;http://www.chem.msu.su/rus/school/SchoolYChem/;Школа юного химика;01.10.2018;Дистанционные курсы углубленной подготовки абитуриентов по математике при Химическом факультете МГУ;Химия;Москва;;;6
21;http://www.mmmf.msu.ru/;Малый мехмат;01.10.2018;Математические кружки при Московском университете;Математика;Москва;;;4
22;http://fmsh.ru/;Вечерняя физико-математическая;01.06.2018;Подготовительные курсы;Физика;Москва;;;5
23;nebo-nsk.ru;Гравитация Эйнштейна;13.12.2018;Лекция о формировании гравитационных волн;Физика;Новосибирск;;;3
24;afisher.info;ZooАкадемия. Увлекательная зоология;05.04.2018;образовательный проект зоопарка «Лесное посольство»;Биология;Новосибирск;1;;2
25;https://youtu.be/EhLHp-8KoxE;Качество жизни человека;20.04.2018;В лекции рассмотрены вопросы круговорота веществ и химических элементов в природе, роль химических элементов в организме человека, основные источники загрязнения окружающей среды, эффекты токсичности элементов для человека;Химия;Москва;;;5
26;https://youtu.be/lvJOB94u1ZM;Эргономика приусадебного хозяйства;10.08.2016;лекция о биологических системах приусадебной территории;Биология;Москва;;;7
27;https://youtu.be/82P6YxtUWBM;Огонь, мерцающий в сосуде;05.05.2016;В лекции рассматриваются основные положения современной теоретической физики, как они возникли и на чем они базируются;Физика;Москва;;;9
28;https://youtu.be/FfZ7TAkht8w;Геометрия. Вневписанная окружность;05.05.2017;"Мастер-класс посвящен решению олимпиадных задач по геометрии объединенных темой ""Вневписанная окружность""";Математика;Москва;1;;2
29;https://youtu.be/dhx-yIJ-ATc;Невидимые нейтрино: окно в новую физику;03.04.2016;Лекция о законах мира элементарных частиц;Физика;Москва;;;4
30;https://youtu.be/ZWjf1WlI5Tc;Генетика патологий или как найти ген болезни;12.10.2017;В лекции идет речь о различных фундаментальных и прикладных аспектах выявления генов, ассоциированных с различными патологиями у человека;Биология;Москва;;;6
31;https://youtu.be/qOYySiahZQs;Мозг и одаренность;11.09.2016;"Лекция о строении мозга и понятии ""одарённость""";Биология;Москва;1;;4
32;https://video-vcs.talantiuspeh.ru/videos/video/405/;Неравенства в олимпиадных задачах и углубленном курсе математики;05.07.2016;Мастер-класс о решении олимпиадных задач по математике;Математика;Москва;;;7
33;https://video-vcs.talantiuspeh.ru/videos/video/491/;Динамическое программирование по профилю;15.11.2016;Мастер-класс;Информационные технологии;Санкт-Петербург;;;8
34;https://afisha.yandex.ru/saint-petersburg/selections/lectures-historylectures?filter=natural_sciences&eventId=5b5612ccfaed1dd389f134a1;День анатомического театра;04.03.2018;Гости узнают, когда появились анатомические театры, как скелет с косой стал символом смерти и почему на публичных вскрытиях посетителей угощали апельсинами;Биология;Санкт-Петербург;;;6
35;https://vk.com/public_sci_fest;Наука 0+;17.10.2018;Интерактивные выставки, научные шоу, лекции знаменитых ученых, увлекательные эксперименты, экскурсии, театральные постановки и астрономические наблюдения;Физика;Москва;;;8
36;https://vk.com/event171854927;Исследование вселенной при помощи гравитационных волн: от Большого взрыва до черных дыр;12.10.2018;Лекция Кипа Торна в Москве;Физика;Москва;1;;2
37;https://vk.com/stevewozniak_nauka0;Computers are going to take over from humans;07.10.2017;Лекция Стива Вознка;Информационные технологии;Москва;;;5
38;https://vk.com/robotbal;Бал роботов;15.06.2014;Интерактивная Робовыставка;Информационные технологии;Москва;;;7
39;https://youtu.be/2iq3l2py-Yg?list=PL1JJ1jVZ9z5Blnz3N5Lw9hiBqmHuaioU-;Лекторий малого мехмата;31.07.2017;Сложение фигур и неравенство Брунна-Минковского;Математика;Москва;;;4
40;http://www.mathnet.ru/conf504;Семинар по истории математики;06.12.2018;Математика и государство: послевоенное развитие вычислительной математики в США и СССР;Математика;Санкт-Петербург;;;5
